subject	group	condition	stimtype	context	videoname	valence	arousal	empathy	responsibility	deservingness	help	BIDR
22	Novices	Compassion	Emotional	Responsible	33	1	9	7	6	1	8	16
22	Novices	Compassion	Emotional	Responsible	28	2	8	7	NA	2	5	16
22	Novices	Compassion	Emotional	Responsible	35	2	6	6	6	7	NA	16
22	Novices	Compassion	Emotional	Responsible	34	1	7	7	5	1	6	16
22	Novices	Empathy	Emotional	Responsible	30	1	7	8	NA	1	NA	16
22	Novices	Empathy	Emotional	Responsible	20	1	7	7	2	1	5	16
22	Novices	Empathy	Emotional	Responsible	36	3	3	3	NA	2	5	16
22	Novices	Empathy	Emotional	Responsible	24	2	2	2	NA	NA	NA	16
26	Novices	Compassion	Emotional	Responsible	28	5	7	8	NA	NA	7	16
26	Novices	Compassion	Emotional	Responsible	34	4	7	7	NA	NA	6	16
26	Novices	Compassion	Emotional	Responsible	33	3	8	8	NA	NA	6	16
26	Novices	Compassion	Emotional	Responsible	20	2	7	6	NA	NA	6	16
26	Novices	Compassion	Emotional	Responsible	24	2	7	7	NA	NA	5	16
26	Novices	Empathy	Emotional	Responsible	29	1	9	9	NA	NA	8	16
26	Novices	Empathy	Emotional	Responsible	35	2	7	7	NA	NA	6	16
26	Novices	Empathy	Emotional	Responsible	36	4	6	6	NA	NA	6	16
26	Novices	Empathy	Emotional	Responsible	30	1	8	7	7	NA	8	16
26	Novices	Empathy	Emotional	Responsible	22	1	6	5	6	NA	8	16
28	Novices	Compassion	Emotional	Responsible	29	7	6	7	6	3	7	3
28	Novices	Compassion	Emotional	Responsible	36	2	6	7	4	4	5	3
28	Novices	Compassion	Emotional	Responsible	33	2	7	6	7	5	5	3
28	Novices	Compassion	Emotional	Responsible	34	2	7	6	5	3	6	3
28	Novices	Compassion	Emotional	Responsible	22	2	7	6	6	7	5	3
28	Novices	Empathy	Emotional	Responsible	35	2	5	6	2	2	5	3
28	Novices	Empathy	Emotional	Responsible	20	3	4	6	5	NA	5	3
28	Novices	Empathy	Emotional	Responsible	30	2	6	5	5	5	5	3
28	Novices	Empathy	Emotional	Responsible	24	2	6	6	3	3	5	3
28	Novices	Empathy	Emotional	Responsible	28	2	6	7	3	4	5	3
29	Novices	Compassion	Emotional	Responsible	5	7	7	7	3	4	6	36
29	Novices	Compassion	Emotional	Responsible	15	7	7	7	5	5	5	36
29	Novices	Compassion	Emotional	Responsible	6	7	7	7	6	5	6	36
29	Novices	Compassion	Emotional	Responsible	18	7	7	7	5	NA	6	36
29	Novices	Compassion	Emotional	Responsible	10	8	8	8	5	5	7	36
29	Novices	Empathy	Emotional	Responsible	17	7	7	6	5	6	5	36
29	Novices	Empathy	Emotional	Responsible	9	7	7	6	6	5	5	36
29	Novices	Empathy	Emotional	Responsible	1	7	7	7	6	5	6	36
29	Novices	Empathy	Emotional	Responsible	3	8	7	7	6	3	6	36
29	Novices	Empathy	Emotional	Responsible	11	7	7	6	7	6	6	36
30	Novices	Compassion	Emotional	Responsible	22	3	5	4	3	3	NA	14
30	Novices	Compassion	Emotional	Responsible	30	2	7	6	2	2	5	14
30	Novices	Compassion	Emotional	Responsible	20	3	7	7	3	1	6	14
30	Novices	Compassion	Emotional	Responsible	35	1	6	7	3	1	6	14
30	Novices	Compassion	Emotional	Responsible	34	2	7	8	2	1	7	14
30	Novices	Empathy	Emotional	Responsible	36	5	5	5	1	1	7	14
30	Novices	Empathy	Emotional	Responsible	29	1	8	9	2	1	7	14
30	Novices	Empathy	Emotional	Responsible	24	1	9	9	1	1	8	14
30	Novices	Empathy	Emotional	Responsible	28	6	5	5	5	NA	NA	14
30	Novices	Empathy	Emotional	Responsible	33	1	8	7	3	1	6	14
32	Novices	Compassion	Emotional	Responsible	11	1	8	8	6	6	5	5
32	Novices	Compassion	Emotional	Responsible	17	2	7	8	6	5	6	5
32	Novices	Compassion	Emotional	Responsible	18	4	6	4	5	NA	5	5
32	Novices	Compassion	Emotional	Responsible	5	2	7	6	6	5	5	5
32	Novices	Compassion	Emotional	Responsible	3	2	8	7	6	6	5	5
32	Novices	Empathy	Emotional	Responsible	9	2	7	8	7	7	5	5
32	Novices	Empathy	Emotional	Responsible	1	5	4	4	6	NA	5	5
32	Novices	Empathy	Emotional	Responsible	10	2	7	7	7	5	5	5
32	Novices	Empathy	Emotional	Responsible	6	2	7	7	6	6	6	5
32	Novices	Empathy	Emotional	Responsible	15	3	6	6	6	5	5	5
34	Novices	Compassion	Emotional	Responsible	33	8	8	8	6	2	6	5
34	Novices	Compassion	Emotional	Responsible	34	8	8	7	6	3	6	5
34	Novices	Compassion	Emotional	Responsible	20	8	8	7	1	1	6	5
34	Novices	Compassion	Emotional	Responsible	35	3	8	7	3	3	5	5
34	Novices	Compassion	Emotional	Responsible	24	2	8	4	7	4	4	5
34	Novices	Empathy	Emotional	Responsible	29	8	9	8	5	2	6	5
34	Novices	Empathy	Emotional	Responsible	28	6	4	2	8	1	4	5
34	Novices	Empathy	Emotional	Responsible	36	8	7	6	5	1	5	5
34	Novices	Empathy	Emotional	Responsible	30	9	7	6	7	1	5	5
34	Novices	Empathy	Emotional	Responsible	22	8	8	6	7	7	4	5
35	Novices	Compassion	Emotional	Responsible	34	3	7	7	5	NA	5	3
35	Novices	Compassion	Emotional	Responsible	30	2	6	5	5	3	NA	3
35	Novices	Compassion	Emotional	Responsible	33	1	8	6	7	NA	NA	3
35	Novices	Compassion	Emotional	Responsible	35	3	7	5	6	5	3	3
35	Novices	Compassion	Emotional	Responsible	22	3	6	6	5	4	NA	3
35	Novices	Empathy	Emotional	Responsible	29	3	7	7	6	NA	4	3
35	Novices	Empathy	Emotional	Responsible	36	3	5	5	NA	NA	5	3
35	Novices	Empathy	Emotional	Responsible	24	3	6	5	NA	5	NA	3
35	Novices	Empathy	Emotional	Responsible	28	4	4	3	6	NA	5	3
35	Novices	Empathy	Emotional	Responsible	20	3	7	7	5	NA	5	3
36	Novices	Compassion	Emotional	Responsible	29	3	7	6	5	NA	5	7
36	Novices	Compassion	Emotional	Responsible	36	5	6	5	NA	NA	NA	7
36	Novices	Compassion	Emotional	Responsible	33	3	6	6	5	5	NA	7
36	Novices	Compassion	Emotional	Responsible	34	6	6	6	NA	NA	5	7
36	Novices	Compassion	Emotional	Responsible	22	7	7	6	7	8	NA	7
36	Novices	Empathy	Emotional	Responsible	35	5	2	3	6	6	NA	7
36	Novices	Empathy	Emotional	Responsible	20	4	6	6	6	6	NA	7
36	Novices	Empathy	Emotional	Responsible	30	4	3	3	6	6	NA	7
36	Novices	Empathy	Emotional	Responsible	24	5	5	5	6	6	NA	7
36	Novices	Empathy	Emotional	Responsible	28	4	4	4	6	6	NA	7
37	Novices	Compassion	Emotional	Responsible	36	4	4	3	3	2	5	24
37	Novices	Compassion	Emotional	Responsible	35	4	7	7	8	8	1	24
37	Novices	Compassion	Emotional	Responsible	34	3	6	5	4	3	5	24
37	Novices	Compassion	Emotional	Responsible	20	5	2	2	4	5	4	24
37	Novices	Compassion	Emotional	Responsible	28	3	3	3	6	6	2	24
37	Novices	Empathy	Emotional	Responsible	22	4	3	2	7	8	1	24
37	Novices	Empathy	Emotional	Responsible	30	1	8	8	8	8	2	24
37	Novices	Empathy	Emotional	Responsible	24	2	7	7	3	3	2	24
37	Novices	Empathy	Emotional	Responsible	29	1	9	9	5	3	6	24
37	Novices	Empathy	Emotional	Responsible	33	1	9	9	8	8	3	24
38	Novices	Compassion	Emotional	Responsible	30	3	4	4	6	2	5	10
38	Novices	Compassion	Emotional	Responsible	22	3	6	6	6	3	6	10
38	Novices	Compassion	Emotional	Responsible	24	5	6	5	3	1	7	10
38	Novices	Compassion	Emotional	Responsible	29	2	6	6	6	1	7	10
38	Novices	Compassion	Emotional	Responsible	34	2	6	6	2	1	6	10
38	Novices	Empathy	Emotional	Responsible	20	3	7	7	6	3	5	10
38	Novices	Empathy	Emotional	Responsible	33	2	8	7	8	2	7	10
38	Novices	Empathy	Emotional	Responsible	28	3	5	5	7	6	NA	10
38	Novices	Empathy	Emotional	Responsible	35	3	6	7	2	1	5	10
38	Novices	Empathy	Emotional	Responsible	36	5	6	5	2	3	NA	10
42	Novices	Compassion	Emotional	Responsible	9	3	7	7	5	3	5	6
42	Novices	Compassion	Emotional	Responsible	3	2	7	7	5	NA	6	6
42	Novices	Compassion	Emotional	Responsible	15	2	6	7	6	NA	5	6
42	Novices	Compassion	Emotional	Responsible	10	3	3	6	6	NA	7	6
42	Novices	Compassion	Emotional	Responsible	6	2	7	7	5	NA	6	6
42	Novices	Empathy	Emotional	Responsible	11	3	6	6	3	3	6	6
42	Novices	Empathy	Emotional	Responsible	5	3	7	6	NA	3	6	6
42	Novices	Empathy	Emotional	Responsible	17	3	7	7	6	6	5	6
42	Novices	Empathy	Emotional	Responsible	1	4	3	7	5	4	6	6
42	Novices	Empathy	Emotional	Responsible	18	3	6	6	5	5	5	6
81	Novices	Compassion	Emotional	Responsible	30	3	3	8	5	4	6	13
81	Novices	Compassion	Emotional	Responsible	36	2	8	7	4	2	7	13
81	Novices	Compassion	Emotional	Responsible	33	1	9	6	5	1	7	13
81	Novices	Compassion	Emotional	Responsible	24	1	8	6	7	3	7	13
81	Novices	Compassion	Emotional	Responsible	22	1	8	6	6	6	5	13
81	Novices	Empathy	Emotional	Responsible	29	1	9	9	6	2	8	13
81	Novices	Empathy	Emotional	Responsible	28	1	7	7	5	1	8	13
81	Novices	Empathy	Emotional	Responsible	35	2	2	6	5	5	5	13
81	Novices	Empathy	Emotional	Responsible	20	2	7	7	5	2	7	13
81	Novices	Empathy	Emotional	Responsible	34	2	7	6	7	6	6	13
82	Novices	Compassion	Emotional	Responsible	29	3	6	3	5	2	6	26
82	Novices	Compassion	Emotional	Responsible	22	5	3	1	8	8	6	26
82	Novices	Compassion	Emotional	Responsible	24	4	5	4	6	NA	5	26
82	Novices	Compassion	Emotional	Responsible	28	4	3	5	5	NA	5	26
82	Novices	Compassion	Emotional	Responsible	34	3	7	7	NA	5	6	26
82	Novices	Empathy	Emotional	Responsible	33	2	3	7	6	6	5	26
82	Novices	Empathy	Emotional	Responsible	35	2	4	2	6	6	NA	26
82	Novices	Empathy	Emotional	Responsible	36	2	7	7	6	3	5	26
82	Novices	Empathy	Emotional	Responsible	30	2	8	4	8	3	3	26
82	Novices	Empathy	Emotional	Responsible	20	2	2	2	7	6	1	26
83	Novices	Compassion	Emotional	Responsible	33	1	9	8	1	1	8	13
83	Novices	Compassion	Emotional	Responsible	22	7	6	4	6	5	6	13
83	Novices	Compassion	Emotional	Responsible	20	3	4	5	5	4	6	13
83	Novices	Compassion	Emotional	Responsible	24	2	7	7	1	1	7	13
83	Novices	Compassion	Emotional	Responsible	36	2	6	6	7	4	NA	13
83	Novices	Empathy	Emotional	Responsible	30	2	8	6	NA	4	5	13
83	Novices	Empathy	Emotional	Responsible	28	3	6	6	6	3	5	13
83	Novices	Empathy	Emotional	Responsible	34	1	8	8	7	2	6	13
83	Novices	Empathy	Emotional	Responsible	29	1	9	9	8	1	7	13
83	Novices	Empathy	Emotional	Responsible	35	2	7	6	7	2	5	13
87	Novices	Compassion	Emotional	Responsible	20	3	7	6	5	NA	NA	15
87	Novices	Compassion	Emotional	Responsible	36	3	7	7	2	NA	5	15
87	Novices	Compassion	Emotional	Responsible	34	2	7	7	NA	1	6	15
87	Novices	Compassion	Emotional	Responsible	24	2	8	7	NA	NA	NA	15
87	Novices	Compassion	Emotional	Responsible	35	3	5	5	NA	NA	NA	15
87	Novices	Empathy	Emotional	Responsible	29	1	9	9	NA	1	7	15
87	Novices	Empathy	Emotional	Responsible	22	4	4	3	8	8	NA	15
87	Novices	Empathy	Emotional	Responsible	33	2	7	6	6	1	6	15
87	Novices	Empathy	Emotional	Responsible	30	2	6	6	7	6	NA	15
87	Novices	Empathy	Emotional	Responsible	28	4	5	3	NA	NA	NA	15
88	Novices	Compassion	Emotional	Responsible	34	1	8	8	2	2	NA	7
88	Novices	Compassion	Emotional	Responsible	33	1	8	8	6	NA	2	7
88	Novices	Compassion	Emotional	Responsible	24	1	8	8	NA	NA	6	7
88	Novices	Compassion	Emotional	Responsible	28	2	5	5	5	2	4	7
88	Novices	Compassion	Emotional	Responsible	20	3	7	6	5	2	NA	7
88	Novices	Empathy	Emotional	Responsible	22	1	8	2	8	7	2	7
88	Novices	Empathy	Emotional	Responsible	35	2	8	3	6	5	1	7
88	Novices	Empathy	Emotional	Responsible	30	1	7	7	7	6	2	7
88	Novices	Empathy	Emotional	Responsible	36	1	8	8	6	NA	NA	7
88	Novices	Empathy	Emotional	Responsible	29	1	9	8	NA	NA	6	7
89	Novices	Compassion	Emotional	Responsible	22	3	7	7	4	4	6	NA
89	Novices	Compassion	Emotional	Responsible	36	2	7	7	6	6	7	NA
89	Novices	Compassion	Emotional	Responsible	30	2	8	8	6	6	7	NA
89	Novices	Compassion	Emotional	Responsible	33	2	7	7	6	5	NA	NA
89	Novices	Compassion	Emotional	Responsible	29	1	9	9	3	1	8	NA
89	Novices	Empathy	Emotional	Responsible	24	2	7	7	1	1	7	NA
89	Novices	Empathy	Emotional	Responsible	34	7	8	7	1	2	7	NA
89	Novices	Empathy	Emotional	Responsible	35	3	7	7	3	NA	5	NA
89	Novices	Empathy	Emotional	Responsible	20	7	6	6	5	NA	NA	NA
89	Novices	Empathy	Emotional	Responsible	28	6	3	3	7	6	NA	NA
90	Novices	Compassion	Emotional	Responsible	9	2	7	7	6	5	6	1
90	Novices	Compassion	Emotional	Responsible	1	3	7	5	6	6	3	1
90	Novices	Compassion	Emotional	Responsible	15	3	6	6	6	NA	6	1
90	Novices	Compassion	Emotional	Responsible	10	2	2	8	3	3	6	1
90	Novices	Compassion	Emotional	Responsible	5	2	3	5	6	6	3	1
90	Novices	Empathy	Emotional	Responsible	18	2	6	5	6	6	NA	1
90	Novices	Empathy	Emotional	Responsible	11	2	4	6	6	6	3	1
90	Novices	Empathy	Emotional	Responsible	6	1	7	7	6	6	5	1
90	Novices	Empathy	Emotional	Responsible	17	2	7	6	7	6	5	1
90	Novices	Empathy	Emotional	Responsible	3	2	7	3	7	6	3	1
91	Novices	Compassion	Emotional	Responsible	17	2	5	4	6	5	6	13
91	Novices	Compassion	Emotional	Responsible	1	2	5	5	NA	2	7	13
91	Novices	Compassion	Emotional	Responsible	10	2	6	6	6	6	NA	13
91	Novices	Empathy	Emotional	Responsible	11	2	4	4	6	6	6	13
91	Novices	Empathy	Emotional	Responsible	3	2	7	7	4	2	6	13
91	Novices	Empathy	Emotional	Responsible	15	1	6	7	5	4	6	13
91	Novices	Empathy	Emotional	Responsible	6	3	3	2	6	5	NA	13
91	Novices	Empathy	Emotional	Responsible	18	3	3	3	5	3	NA	13
93	Novices	Compassion	Emotional	Responsible	20	3	6	4	4	NA	5	25
93	Novices	Compassion	Emotional	Responsible	28	3	5	3	5	NA	NA	25
93	Novices	Compassion	Emotional	Responsible	36	2	6	6	3	3	6	25
93	Novices	Compassion	Emotional	Responsible	24	3	6	6	4	4	NA	25
93	Novices	Compassion	Emotional	Responsible	30	2	7	7	NA	4	5	25
93	Novices	Empathy	Emotional	Responsible	33	3	5	7	NA	1	6	25
93	Novices	Empathy	Emotional	Responsible	35	3	6	6	NA	NA	NA	25
93	Novices	Empathy	Emotional	Responsible	22	6	7	6	5	3	5	25
93	Novices	Empathy	Emotional	Responsible	34	7	7	6	4	3	6	25
93	Novices	Empathy	Emotional	Responsible	29	7	7	7	3	3	6	25
94	Novices	Compassion	Emotional	Responsible	24	1	6	4	8	8	2	8
94	Novices	Compassion	Emotional	Responsible	22	3	7	5	4	NA	5	8
94	Novices	Compassion	Emotional	Responsible	35	2	9	3	8	6	NA	8
94	Novices	Compassion	Emotional	Responsible	20	1	7	4	NA	5	6	8
94	Novices	Compassion	Emotional	Responsible	30	2	8	3	7	NA	NA	8
94	Novices	Empathy	Emotional	Responsible	34	3	7	6	7	5	5	8
94	Novices	Empathy	Emotional	Responsible	29	1	9	8	NA	2	NA	8
94	Novices	Empathy	Emotional	Responsible	36	3	7	7	1	1	7	8
94	Novices	Empathy	Emotional	Responsible	28	5	6	5	7	3	4	8
94	Novices	Empathy	Emotional	Responsible	33	1	9	7	7	3	5	8
95	Novices	Compassion	Emotional	Responsible	9	4	6	6	5	1	6	8
95	Novices	Compassion	Emotional	Responsible	15	4	5	5	5	4	NA	8
95	Novices	Compassion	Emotional	Responsible	10	2	6	6	8	1	4	8
95	Novices	Compassion	Emotional	Responsible	6	4	6	6	8	4	5	8
95	Novices	Compassion	Emotional	Responsible	3	4	6	5	5	6	4	8
95	Novices	Empathy	Emotional	Responsible	5	3	4	5	3	4	7	8
95	Novices	Empathy	Emotional	Responsible	11	3	7	6	5	2	6	8
95	Novices	Empathy	Emotional	Responsible	1	4	5	5	5	3	5	8
95	Novices	Empathy	Emotional	Responsible	18	3	5	3	4	4	5	8
95	Novices	Empathy	Emotional	Responsible	17	4	5	3	6	5	4	8
96	Novices	Compassion	Emotional	Responsible	5	7	7	8	7	NA	5	12
96	Novices	Compassion	Emotional	Responsible	17	8	9	7	8	6	6	12
96	Novices	Compassion	Emotional	Responsible	18	4	5	5	2	1	5	12
96	Novices	Compassion	Emotional	Responsible	3	3	7	5	8	8	NA	12
96	Novices	Compassion	Emotional	Responsible	11	6	5	5	7	NA	NA	12
96	Novices	Empathy	Emotional	Responsible	9	3	7	6	8	7	NA	12
96	Novices	Empathy	Emotional	Responsible	6	2	3	7	7	7	3	12
96	Novices	Empathy	Emotional	Responsible	15	3	7	6	5	5	5	12
96	Novices	Empathy	Emotional	Responsible	1	3	7	7	NA	1	5	12
96	Novices	Empathy	Emotional	Responsible	10	2	8	7	7	NA	6	12
50	Experts	Compassion	Emotional	Responsible	15	9	8	8	NA	1	8	12
50	Experts	Compassion	Emotional	Responsible	18	7	7	6	5	1	7	12
50	Experts	Compassion	Emotional	Responsible	10	9	9	9	1	1	8	12
50	Experts	Compassion	Emotional	Responsible	17	5	5	9	7	NA	8	12
50	Experts	Compassion	Emotional	Responsible	3	9	8	9	NA	2	7	12
50	Experts	Empathy	Emotional	Responsible	6	5	6	6	8	NA	7	12
50	Experts	Empathy	Emotional	Responsible	5	8	9	8	5	1	7	12
50	Experts	Empathy	Emotional	Responsible	11	9	8	7	1	1	7	12
50	Experts	Empathy	Emotional	Responsible	1	9	8	7	6	1	8	12
50	Experts	Empathy	Emotional	Responsible	9	9	8	7	8	6	7	12
51	Experts	Compassion	Emotional	Responsible	15	5	6	5	6	NA	3	9
51	Experts	Compassion	Emotional	Responsible	18	4	2	1	6	NA	8	9
51	Experts	Compassion	Emotional	Responsible	10	3	7	7	3	1	7	9
51	Experts	Compassion	Emotional	Responsible	17	3	7	7	6	NA	6	9
51	Experts	Compassion	Emotional	Responsible	3	3	3	6	6	6	NA	9
52	Experts	Compassion	Emotional	Responsible	36	3	2	2	NA	1	6	17
52	Experts	Compassion	Emotional	Responsible	24	2	1	3	NA	1	5	17
52	Experts	Compassion	Emotional	Responsible	30	1	5	3	6	1	NA	17
52	Experts	Compassion	Emotional	Responsible	20	2	2	5	NA	1	6	17
52	Experts	Empathy	Emotional	Responsible	22	4	5	6	NA	NA	NA	17
52	Experts	Empathy	Emotional	Responsible	35	4	5	5	1	1	5	17
52	Experts	Empathy	Emotional	Responsible	34	2	5	6	3	NA	NA	17
52	Experts	Empathy	Emotional	Responsible	33	2	7	7	2	1	5	17
52	Experts	Empathy	Emotional	Responsible	28	2	2	2	NA	1	NA	17
53	Experts	Compassion	Emotional	Responsible	30	2	6	6	NA	NA	6	28
53	Experts	Compassion	Emotional	Responsible	34	2	7	7	NA	NA	6	28
53	Experts	Compassion	Emotional	Responsible	35	3	6	6	NA	NA	5	28
53	Experts	Compassion	Emotional	Responsible	33	1	8	8	NA	NA	7	28
53	Experts	Compassion	Emotional	Responsible	24	2	7	7	5	NA	6	28
53	Experts	Empathy	Emotional	Responsible	29	1	8	7	6	NA	6	28
53	Experts	Empathy	Emotional	Responsible	20	1	7	7	NA	NA	6	28
53	Experts	Empathy	Emotional	Responsible	36	4	5	6	6	NA	5	28
53	Experts	Empathy	Emotional	Responsible	22	4	6	6	6	NA	6	28
53	Experts	Empathy	Emotional	Responsible	28	4	6	5	NA	NA	5	28
54	Experts	Compassion	Emotional	Responsible	29	7	6	7	NA	NA	7	13
54	Experts	Compassion	Emotional	Responsible	28	7	6	5	6	NA	6	13
54	Experts	Compassion	Emotional	Responsible	30	7	6	5	6	NA	7	13
54	Experts	Compassion	Emotional	Responsible	34	7	5	6	7	4	8	13
54	Experts	Compassion	Emotional	Responsible	36	6	6	5	6	2	7	13
54	Experts	Empathy	Emotional	Responsible	35	7	6	7	6	NA	7	13
54	Experts	Empathy	Emotional	Responsible	20	7	2	6	5	NA	6	13
54	Experts	Empathy	Emotional	Responsible	22	8	5	7	NA	2	8	13
54	Experts	Empathy	Emotional	Responsible	33	7	8	7	5	NA	8	13
54	Experts	Empathy	Emotional	Responsible	24	7	6	5	5	NA	8	13
55	Experts	Compassion	Emotional	Responsible	20	5	8	8	2	1	8	14
55	Experts	Compassion	Emotional	Responsible	30	1	8	7	6	1	8	14
55	Experts	Compassion	Emotional	Responsible	24	1	8	8	4	1	8	14
55	Experts	Compassion	Emotional	Responsible	22	1	8	8	NA	1	7	14
55	Experts	Compassion	Emotional	Responsible	28	3	7	7	NA	1	6	14
55	Experts	Empathy	Emotional	Responsible	36	1	7	7	NA	1	6	14
55	Experts	Empathy	Emotional	Responsible	33	1	9	8	NA	1	7	14
55	Experts	Empathy	Emotional	Responsible	34	2	7	8	NA	1	7	14
55	Experts	Empathy	Emotional	Responsible	29	1	8	7	NA	1	8	14
55	Experts	Empathy	Emotional	Responsible	35	2	7	7	NA	1	6	14
