subject	group	condition	stimtype	context	videoname	trialrank	code	cue	response	rt	zoom
11	Novices	Compassion	Emotional	Not-responsible	34	3	103	Avoid	correct	888.6	out
11	Novices	Compassion	Emotional	Not-responsible	34	4	102	Approach	correct	974.6	in
11	Novices	Compassion	Emotional	Responsible	17	1	100	Approach	correct	843	in
11	Novices	Compassion	Emotional	Responsible	17	2	101	Avoid	correct	447	out
11	Novices	Compassion	Emotional	Responsible	17	3	101	Avoid	correct	871.5	out
11	Novices	Compassion	Emotional	Responsible	17	4	100	Approach	correct	685.1	in
11	Novices	Compassion	Emotional	Responsible	29	1	101	Avoid	correct	575.7	out
11	Novices	Compassion	Emotional	Responsible	29	2	100	NA	NA	NA	NA
11	Novices	Compassion	Emotional	Responsible	29	3	101	Avoid	correct	700.4	out
11	Novices	Compassion	Emotional	Responsible	29	4	100	Approach	correct	599.8	in
11	Novices	Compassion	Emotional	Responsible	6	1	101	Avoid	correct	723	out
11	Novices	Compassion	Emotional	Responsible	6	2	100	Approach	correct	681.1	in
11	Novices	Compassion	Emotional	Responsible	6	3	100	Approach	correct	986.8	in
11	Novices	Compassion	Emotional	Responsible	6	4	101	Avoid	correct	858.6	out
11	Novices	Compassion	Neutral	Not-responsible	43	1	107	Avoid	correct	808.6	out
11	Novices	Compassion	Neutral	Not-responsible	43	2	107	Avoid	correct	882.1	out
11	Novices	Compassion	Neutral	Not-responsible	43	3	107	Avoid	correct	1211.4	out
11	Novices	Compassion	Neutral	Not-responsible	43	4	107	Avoid	correct	1015.8	out
11	Novices	Compassion	Neutral	Not-responsible	47	1	107	Avoid	correct	706	out
11	Novices	Compassion	Neutral	Not-responsible	47	2	106	Approach	correct	525.3	in
11	Novices	Compassion	Neutral	Not-responsible	47	3	106	Approach	correct	734.6	in
11	Novices	Compassion	Neutral	Not-responsible	47	4	106	Approach	correct	544.5	in
11	Novices	Compassion	Neutral	Not-responsible	50	1	106	Approach	correct	599.8	in
11	Novices	Compassion	Neutral	Not-responsible	50	2	107	Avoid	correct	930.1	out
11	Novices	Compassion	Neutral	Not-responsible	50	3	106	NA	NA	NA	NA
11	Novices	Compassion	Neutral	Not-responsible	50	4	106	Approach	incorrect	499.9	out
11	Novices	Compassion	Neutral	Responsible	53	1	105	Avoid	correct	707.5	out
11	Novices	Compassion	Neutral	Responsible	53	2	105	Avoid	correct	697.3	out
11	Novices	Compassion	Neutral	Responsible	53	3	105	Avoid	correct	538.6	out
11	Novices	Compassion	Neutral	Responsible	53	4	104	Approach	correct	381.9	in
11	Novices	Compassion	Neutral	Responsible	54	1	104	Approach	correct	955.3	in
11	Novices	Compassion	Neutral	Responsible	54	2	105	Avoid	correct	482.2	out
11	Novices	Compassion	Neutral	Responsible	54	3	105	Avoid	correct	599.8	out
11	Novices	Compassion	Neutral	Responsible	54	4	105	Avoid	correct	533.6	out
11	Novices	Compassion	Neutral	Responsible	61	1	105	Avoid	correct	517.5	out
11	Novices	Compassion	Neutral	Responsible	61	2	105	Avoid	correct	529.1	out
11	Novices	Compassion	Neutral	Responsible	61	3	104	Approach	correct	383.5	in
11	Novices	Compassion	Neutral	Responsible	61	4	104	Approach	correct	439.2	in
11	Novices	Empathy	Emotional	Not-responsible	20	1	103	Avoid	correct	851.9	out
11	Novices	Empathy	Emotional	Not-responsible	20	2	102	Approach	correct	748.8	in
11	Novices	Empathy	Emotional	Not-responsible	20	3	103	Avoid	correct	650.1	out
11	Novices	Empathy	Emotional	Not-responsible	20	4	102	Approach	correct	564.6	in
11	Novices	Empathy	Emotional	Not-responsible	24	1	103	Avoid	correct	604.9	out
11	Novices	Empathy	Emotional	Not-responsible	24	2	102	Approach	correct	653.2	in
11	Novices	Empathy	Emotional	Not-responsible	24	3	103	Avoid	correct	689.6	out
11	Novices	Empathy	Emotional	Not-responsible	24	4	102	Approach	correct	704.1	in
11	Novices	Empathy	Emotional	Not-responsible	28	1	102	NA	NA	NA	NA
11	Novices	Empathy	Emotional	Not-responsible	28	2	103	NA	NA	NA	NA
11	Novices	Empathy	Emotional	Not-responsible	28	3	103	Avoid	correct	682.2	out
11	Novices	Empathy	Emotional	Not-responsible	28	4	102	Approach	correct	718.1	in
11	Novices	Empathy	Emotional	Not-responsible	33	1	103	Avoid	correct	1014.6	out
11	Novices	Empathy	Emotional	Not-responsible	33	2	103	Avoid	correct	854	out
11	Novices	Empathy	Emotional	Not-responsible	33	3	102	Approach	correct	664.5	in
11	Novices	Empathy	Emotional	Not-responsible	33	4	102	Approach	correct	611.4	in
11	Novices	Empathy	Emotional	Not-responsible	35	1	102	Approach	correct	1059	in
11	Novices	Empathy	Emotional	Not-responsible	35	2	103	Avoid	correct	765.7	out
11	Novices	Empathy	Emotional	Not-responsible	35	3	102	Approach	correct	730.2	in
11	Novices	Empathy	Emotional	Not-responsible	35	4	103	Avoid	correct	599.8	out
11	Novices	Empathy	Emotional	Responsible	11	1	101	Avoid	correct	851.2	out
11	Novices	Empathy	Emotional	Responsible	11	2	100	Approach	correct	399.9	in
11	Novices	Empathy	Emotional	Responsible	11	3	100	Approach	correct	663.2	in
11	Novices	Empathy	Emotional	Responsible	11	4	101	Avoid	correct	989.5	out
11	Novices	Empathy	Emotional	Responsible	15	1	101	Avoid	correct	1003.9	out
11	Novices	Empathy	Emotional	Responsible	15	2	101	Avoid	correct	805.3	out
11	Novices	Empathy	Emotional	Responsible	15	3	100	Approach	correct	688.6	in
11	Novices	Empathy	Emotional	Responsible	15	4	100	Approach	correct	635.1	in
11	Novices	Empathy	Emotional	Responsible	18	1	100	Approach	correct	492.7	in
11	Novices	Empathy	Emotional	Responsible	18	2	100	Approach	correct	718.3	in
11	Novices	Empathy	Emotional	Responsible	18	3	101	Avoid	correct	453.1	out
11	Novices	Empathy	Emotional	Responsible	18	4	101	Avoid	correct	538.1	out
11	Novices	Empathy	Emotional	Responsible	9	1	100	Approach	correct	682.1	in
11	Novices	Empathy	Emotional	Responsible	9	2	101	Avoid	correct	683.3	out
11	Novices	Empathy	Emotional	Responsible	9	3	101	Avoid	correct	599.9	out
11	Novices	Empathy	Emotional	Responsible	9	4	100	Approach	correct	564.6	in
11	Novices	Empathy	Neutral	Not-responsible	37	1	106	Approach	correct	416.3	in
11	Novices	Empathy	Neutral	Not-responsible	37	2	107	Avoid	incorrect	503.3	in
11	Novices	Empathy	Neutral	Not-responsible	37	3	106	Approach	correct	656.6	in
11	Novices	Empathy	Neutral	Not-responsible	37	4	106	Approach	correct	725.3	in
11	Novices	Empathy	Neutral	Not-responsible	45	1	106	Approach	correct	843.6	in
11	Novices	Empathy	Neutral	Not-responsible	45	2	106	Approach	correct	653	in
11	Novices	Empathy	Neutral	Not-responsible	45	3	106	Approach	correct	848.8	in
11	Novices	Empathy	Neutral	Not-responsible	45	4	107	Avoid	correct	682.2	out
11	Novices	Empathy	Neutral	Not-responsible	46	1	107	Avoid	correct	621.2	out
11	Novices	Empathy	Neutral	Not-responsible	46	2	107	Avoid	correct	0.100000000093	out
11	Novices	Empathy	Neutral	Not-responsible	46	3	106	Approach	correct	524.3	in
11	Novices	Empathy	Neutral	Not-responsible	46	4	106	Approach	correct	621.8	in
11	Novices	Empathy	Neutral	Not-responsible	49	1	107	Avoid	correct	699.6	out
11	Novices	Empathy	Neutral	Not-responsible	49	2	107	Avoid	correct	584.5	out
11	Novices	Empathy	Neutral	Not-responsible	49	3	107	Avoid	correct	630.2	out
11	Novices	Empathy	Neutral	Not-responsible	49	4	107	Avoid	correct	682.2	out
11	Novices	Empathy	Neutral	Not-responsible	51	1	107	Avoid	correct	599.8	out
11	Novices	Empathy	Neutral	Not-responsible	51	2	107	Avoid	correct	729.7	out
11	Novices	Empathy	Neutral	Not-responsible	51	3	107	Avoid	correct	610.3	out
11	Novices	Empathy	Neutral	Not-responsible	51	4	106	Approach	correct	525.9	in
11	Novices	Empathy	Neutral	Responsible	39	1	104	Approach	correct	653.3	in
11	Novices	Empathy	Neutral	Responsible	39	2	104	Approach	correct	690.8	in
11	Novices	Empathy	Neutral	Responsible	39	3	104	Approach	correct	577.1	in
11	Novices	Empathy	Neutral	Responsible	39	4	105	Avoid	correct	818.2	out
11	Novices	Empathy	Neutral	Responsible	55	1	105	Avoid	correct	642.8	out
11	Novices	Empathy	Neutral	Responsible	55	2	105	Avoid	correct	688.2	out
11	Novices	Empathy	Neutral	Responsible	55	3	105	Avoid	correct	564.5	out
11	Novices	Empathy	Neutral	Responsible	55	4	104	Approach	correct	411.5	in
11	Novices	Empathy	Neutral	Responsible	57	1	105	Avoid	correct	626	out
11	Novices	Empathy	Neutral	Responsible	57	2	104	Approach	correct	491	in
11	Novices	Empathy	Neutral	Responsible	57	3	104	Approach	correct	892.1	in
11	Novices	Empathy	Neutral	Responsible	57	4	104	Approach	correct	581.5	in
11	Novices	Empathy	Neutral	Responsible	63	1	105	Avoid	correct	542.3	out
11	Novices	Empathy	Neutral	Responsible	63	2	105	Avoid	NA	NA	NA
11	Novices	Empathy	Neutral	Responsible	63	3	105	Avoid	correct	539.4	out
11	Novices	Empathy	Neutral	Responsible	63	4	105	Avoid	correct	552	out
11	Novices	Empathy	Neutral	Responsible	70	1	104	Approach	correct	769.5	in
11	Novices	Empathy	Neutral	Responsible	70	2	104	Approach	correct	635.3	in
11	Novices	Empathy	Neutral	Responsible	70	3	105	Avoid	correct	436.4	out
11	Novices	Empathy	Neutral	Responsible	70	4	104	Approach	correct	717.4	in
12	Novices	Compassion	Emotional	Not-responsible	10	1	103	NA	NA	NA	NA
12	Novices	Compassion	Emotional	Not-responsible	10	2	102	NA	NA	NA	NA
12	Novices	Compassion	Emotional	Not-responsible	10	3	102	Approach	correct	564.9	in
12	Novices	Compassion	Emotional	Not-responsible	10	4	103	Avoid	correct	431.2	out
12	Novices	Compassion	Emotional	Not-responsible	17	1	102	Approach	correct	568.3	in
12	Novices	Compassion	Emotional	Not-responsible	17	2	102	Approach	correct	540.5	in
12	Novices	Compassion	Emotional	Not-responsible	17	3	103	Avoid	correct	484.5	out
12	Novices	Compassion	Emotional	Not-responsible	17	4	103	Avoid	correct	411.9	out
12	Novices	Compassion	Emotional	Not-responsible	18	1	102	Approach	correct	804.4	in
12	Novices	Compassion	Emotional	Not-responsible	18	2	102	Approach	correct	455.4	in
12	Novices	Compassion	Emotional	Not-responsible	18	3	103	Avoid	correct	333.5	out
12	Novices	Compassion	Emotional	Not-responsible	18	4	103	Avoid	correct	471.4	out
12	Novices	Compassion	Emotional	Not-responsible	5	1	103	Avoid	correct	1353.5	out
12	Novices	Compassion	Emotional	Not-responsible	5	2	103	Avoid	correct	410.4	out
12	Novices	Compassion	Emotional	Not-responsible	5	3	102	Approach	correct	600	in
12	Novices	Compassion	Emotional	Not-responsible	5	4	102	Approach	correct	417.8	in
12	Novices	Compassion	Emotional	Not-responsible	6	1	103	Avoid	correct	789.4	out
12	Novices	Compassion	Emotional	Not-responsible	6	2	103	Avoid	correct	542.3	out
12	Novices	Compassion	Emotional	Not-responsible	6	3	102	Approach	correct	298	in
12	Novices	Compassion	Emotional	Not-responsible	6	4	102	Approach	correct	291.4	in
12	Novices	Compassion	Emotional	Not-responsible	9	1	102	Approach	correct	703.8	in
12	Novices	Compassion	Emotional	Not-responsible	9	2	103	Avoid	correct	400	out
12	Novices	Compassion	Emotional	Not-responsible	9	3	103	Avoid	correct	600	out
12	Novices	Compassion	Emotional	Not-responsible	9	4	102	Approach	correct	263.3	in
12	Novices	Compassion	Emotional	Responsible	20	1	101	Avoid	correct	635.4	out
12	Novices	Compassion	Emotional	Responsible	20	2	100	Approach	correct	343.6	in
12	Novices	Compassion	Emotional	Responsible	20	3	101	Avoid	correct	482.4	out
12	Novices	Compassion	Emotional	Responsible	20	4	100	Approach	correct	551.5	in
12	Novices	Compassion	Emotional	Responsible	24	1	101	Avoid	correct	745.4	out
12	Novices	Compassion	Emotional	Responsible	24	2	100	Approach	correct	461.2	in
12	Novices	Compassion	Emotional	Responsible	24	3	100	Approach	correct	408.7	in
12	Novices	Compassion	Emotional	Responsible	24	4	101	Avoid	correct	336.9	out
12	Novices	Compassion	Emotional	Responsible	30	1	100	Approach	correct	456.3	in
12	Novices	Compassion	Emotional	Responsible	30	2	101	Avoid	correct	336.8	out
12	Novices	Compassion	Emotional	Responsible	30	3	101	Avoid	correct	440.8	out
12	Novices	Compassion	Emotional	Responsible	30	4	100	Approach	correct	384.2	in
12	Novices	Compassion	Emotional	Responsible	36	1	100	Approach	correct	378.8	in
12	Novices	Compassion	Emotional	Responsible	36	2	101	Avoid	incorrect	400.1	in
12	Novices	Compassion	Emotional	Responsible	36	3	100	Approach	correct	605.6	in
12	Novices	Compassion	Emotional	Responsible	36	4	101	Avoid	correct	581.3	out
12	Novices	Compassion	Neutral	Not-responsible	53	1	107	Avoid	correct	428	out
12	Novices	Compassion	Neutral	Not-responsible	53	2	106	Approach	correct	282.4	in
12	Novices	Compassion	Neutral	Not-responsible	53	3	106	Approach	incorrect	503	out
12	Novices	Compassion	Neutral	Not-responsible	53	4	107	Avoid	correct	734.6	out
12	Novices	Compassion	Neutral	Not-responsible	54	1	106	Approach	correct	437.2	in
12	Novices	Compassion	Neutral	Not-responsible	54	2	106	Approach	correct	503.5	in
12	Novices	Compassion	Neutral	Not-responsible	54	3	107	Avoid	correct	413.4	out
12	Novices	Compassion	Neutral	Not-responsible	54	4	107	Avoid	correct	383.3	out
12	Novices	Compassion	Neutral	Not-responsible	55	1	107	Avoid	correct	484.6	out
12	Novices	Compassion	Neutral	Not-responsible	55	2	106	Approach	correct	446.1	in
12	Novices	Compassion	Neutral	Not-responsible	55	3	107	Avoid	correct	374.2	out
12	Novices	Compassion	Neutral	Not-responsible	55	4	106	Approach	correct	282.4	in
12	Novices	Compassion	Neutral	Not-responsible	62	1	106	Approach	correct	389.4	in
12	Novices	Compassion	Neutral	Not-responsible	62	2	107	Avoid	correct	409.2	out
12	Novices	Compassion	Neutral	Not-responsible	62	3	106	Approach	correct	483.8	in
